00:00.354  blend            | Read blend: "/Users/panglaohu/Downloads/TigerInBamboo/TigerMessenger/assets/models/originals/blender-r3/moebiusAirship.blend"
BlenderMCP: cannot start server in background mode (blender -b) - commands would never execute
BlenderMCP: run Blender with a GUI, or use a virtual display: xvfb-run -a blender
BlenderMCP addon registered
INFO Draco is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_draco_bridge.dylib
INFO MeshOptimizer is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_meshopt_bridge.dylib
04:16:00 | INFO: Starting glTF 2.0 export
04:16:00 | INFO: Extracting primitive: rigging-cable.014
04:16:00 | INFO: Primitives created: 3
04:16:00 | INFO: Extracting primitive: rigging-cable.015
04:16:00 | INFO: Primitives created: 3
04:16:00 | INFO: Extracting primitive: rigging-cable.016
04:16:00 | INFO: Primitives created: 3
04:16:00 | INFO: Extracting primitive: rigging-cable.017
04:16:00 | INFO: Primitives created: 3
04:16:00 | INFO: Extracting primitive: rigging-cable.018
04:16:00 | INFO: Primitives created: 3
04:16:00 | INFO: Extracting primitive: rigging-cable.019
04:16:00 | INFO: Primitives created: 3
04:16:00 | INFO: Extracting primitive: rigging-cable.020
04:16:00 | INFO: Primitives created: 3
04:16:00 | INFO: Extracting primitive: rigging-cable.021
04:16:00 | INFO: Primitives created: 3
04:16:00 | INFO: Extracting primitive: rigging-cable.022
04:16:00 | INFO: Primitives created: 3
04:16:00 | INFO: Extracting primitive: rigging-cable.023
04:16:00 | INFO: Primitives created: 3
04:16:00 | INFO: Extracting primitive: rigging-cable.024
04:16:00 | INFO: Primitives created: 3
04:16:00 | INFO: Extracting primitive: rigging-cable.025
04:16:00 | INFO: Primitives created: 3
04:16:00 | INFO: Extracting primitive: rigging-cable.026
04:16:00 | INFO: Primitives created: 3
04:16:00 | INFO: Extracting primitive: rigging-cable.027
04:16:00 | INFO: Primitives created: 3
04:16:00 | INFO: Extracting primitive: n206.001
04:16:00 | INFO: Primitives created: 6
04:16:00 | INFO: Extracting primitive: n209.001
04:16:00 | INFO: Primitives created: 6
04:16:00 | INFO: Extracting primitive: n212.001
04:16:00 | INFO: Primitives created: 6
04:16:00 | INFO: Extracting primitive: n215.001
04:16:00 | INFO: Primitives created: 6
04:16:00 | INFO: Extracting primitive: n14.001
04:16:00 | INFO: Primitives created: 6
04:16:00 | INFO: Extracting primitive: n16.001
04:16:00 | INFO: Primitives created: 6
04:16:00 | INFO: Extracting primitive: n18.001
04:16:00 | INFO: Primitives created: 6
04:16:00 | INFO: Extracting primitive: n20.001
04:16:00 | INFO: Primitives created: 6
04:16:00 | INFO: Extracting primitive: n22.001
04:16:00 | INFO: Primitives created: 6
04:16:00 | INFO: Extracting primitive: n24.001
04:16:00 | INFO: Primitives created: 6
04:16:00 | INFO: Extracting primitive: n26.001
04:16:00 | INFO: Primitives created: 6
04:16:00 | INFO: Extracting primitive: n28.001
04:16:00 | INFO: Primitives created: 6
04:16:00 | INFO: Extracting primitive: n30.001
04:16:00 | INFO: Primitives created: 6
04:16:00 | INFO: Extracting primitive: n32.001
04:16:00 | INFO: Primitives created: 6
