00:00.353  blend            | Read blend: "/Users/panglaohu/Downloads/TigerInBamboo/TigerMessenger/assets/models/originals/blender-r3/moebiusSwamp.blend"
BlenderMCP: cannot start server in background mode (blender -b) - commands would never execute
BlenderMCP: run Blender with a GUI, or use a virtual display: xvfb-run -a blender
BlenderMCP addon registered
INFO Draco is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_draco_bridge.dylib
INFO MeshOptimizer is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_meshopt_bridge.dylib
04:17:46 | INFO: Starting glTF 2.0 export
04:17:47 | INFO: Extracting primitive: n2467.001
04:17:47 | INFO: Primitives created: 1
04:17:47 | INFO: Extracting primitive: n2469.001
04:17:47 | INFO: Primitives created: 1
04:17:47 | INFO: Extracting primitive: n2471.001
04:17:47 | INFO: Primitives created: 1
04:17:47 | INFO: Extracting primitive: n2473.001
04:17:47 | INFO: Primitives created: 1
04:17:47 | INFO: Extracting primitive: n2475.001
04:17:47 | INFO: Primitives created: 1
04:17:47 | INFO: Extracting primitive: n2476.001
04:17:47 | INFO: Primitives created: 2
04:17:47 | INFO: Extracting primitive: n2478.001
04:17:47 | INFO: Primitives created: 2
04:17:47 | INFO: Extracting primitive: n2480.001
04:17:47 | INFO: Primitives created: 2
04:17:47 | INFO: Extracting primitive: n2482.001
04:17:47 | INFO: Primitives created: 2
04:17:47 | INFO: Extracting primitive: n2484.001
04:17:47 | INFO: Primitives created: 2
04:17:47 | INFO: Extracting primitive: n2487.001
04:17:47 | INFO: Primitives created: 1
04:17:47 | INFO: Extracting primitive: n2489.001
04:17:47 | INFO: Primitives created: 1
04:17:47 | INFO: Extracting primitive: n2491.001
04:17:47 | INFO: Primitives created: 1
04:17:47 | INFO: Extracting primitive: n2493.001
04:17:47 | INFO: Primitives created: 1
04:17:47 | INFO: Extracting primitive: n2495.001
04:17:47 | INFO: Primitives created: 1
04:17:47 | INFO: Extracting primitive: n2496.001
04:17:47 | INFO: Primitives created: 2
04:17:47 | INFO: Extracting primitive: n2498.001
04:17:47 | INFO: Primitives created: 2
04:17:47 | INFO: Extracting primitive: n2500.001
04:17:47 | INFO: Primitives created: 2
04:17:47 | INFO: Extracting primitive: n2502.001
04:17:47 | INFO: Primitives created: 2
04:17:47 | INFO: Extracting primitive: n2504.001
04:17:47 | INFO: Primitives created: 2
04:17:47 | INFO: Extracting primitive: n3856.001
04:17:47 | INFO: Primitives created: 1
04:17:47 | INFO: Extracting primitive: n3858.001
04:17:47 | INFO: Primitives created: 1
04:17:47 | INFO: Extracting primitive: n3860.001
04:17:47 | INFO: Primitives created: 1
04:17:47 | INFO: Extracting primitive: n3862.001
04:17:47 | INFO: Primitives created: 1
04:17:47 | INFO: Extracting primitive: n3864.001
04:17:47 | INFO: Primitives created: 1
04:17:47 | INFO: Extracting primitive: n3865.001
04:17:47 | INFO: Primitives created: 2
04:17:47 | INFO: Extracting primitive: n3867.001
04:17:47 | INFO: Primitives created: 2
04:17:47 | INFO: Extracting primitive: n3869.001
04:17:47 | INFO: Primitives created: 2
04:17:47 | INFO: Extracting primitive: n3871.001
