00:00.357  blend            | Read blend: "/Users/panglaohu/Downloads/TigerInBamboo/TigerMessenger/assets/models/originals/blender-r3/oldHarbor.blend"
BlenderMCP: cannot start server in background mode (blender -b) - commands would never execute
BlenderMCP: run Blender with a GUI, or use a virtual display: xvfb-run -a blender
BlenderMCP addon registered
INFO Draco is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_draco_bridge.dylib
INFO MeshOptimizer is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_meshopt_bridge.dylib
04:15:46 | INFO: Starting glTF 2.0 export
04:15:46 | INFO: Extracting primitive: hull-low.001
04:15:46 | INFO: Primitives created: 2
04:15:46 | INFO: Extracting primitive: hull-prow.001
04:15:46 | INFO: Primitives created: 2
04:15:46 | INFO: Extracting primitive: mast.001
04:15:46 | INFO: Primitives created: 3
04:15:46 | INFO: Extracting primitive: n43.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n45.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n47.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n49.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n51.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n53.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n55.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n57.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n59.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n61.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n63.001
04:15:46 | INFO: Primitives created: 3
04:15:46 | INFO: Extracting primitive: n65.001
04:15:46 | INFO: Primitives created: 3
04:15:46 | INFO: Extracting primitive: n67.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n69.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n71.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n73.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n75.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n77.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n79.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n81.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n83.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n85.001
04:15:46 | INFO: Primitives created: 6
04:15:46 | INFO: Extracting primitive: n87.001
04:15:46 | INFO: Primitives created: 3
04:15:46 | INFO: Extracting primitive: n89.001
04:15:46 | INFO: Primitives created: 3
04:15:46 | INFO: Extracting primitive: n93.001
04:15:46 | INFO: Primitives created: 2
04:15:46 | INFO: Extracting primitive: n95.001
04:15:46 | INFO: Primitives created: 6
