00:00.365  blend            | Read blend: "/Users/panglaohu/Downloads/TigerInBamboo/TigerMessenger/assets/models/originals/blender-r3/saihoji.blend"
BlenderMCP: cannot start server in background mode (blender -b) - commands would never execute
BlenderMCP: run Blender with a GUI, or use a virtual display: xvfb-run -a blender
BlenderMCP addon registered
INFO Draco is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_draco_bridge.dylib
INFO MeshOptimizer is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_meshopt_bridge.dylib
04:14:32 | INFO: Starting glTF 2.0 export
04:14:32 | INFO: Extracting primitive: n504.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n507.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n510.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n513.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n516.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n519.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n522.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n525.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n528.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n531.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n534.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n537.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n540.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n543.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n546.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n549.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n552.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n555.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n558.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n561.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n564.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n567.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n570.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n573.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n576.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n579.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n582.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n585.001
04:14:32 | INFO: Primitives created: 3
04:14:32 | INFO: Extracting primitive: n588.001
04:14:32 | INFO: Primitives created: 3
