00:00.362  blend            | Read blend: "/Users/panglaohu/Downloads/TigerInBamboo/TigerMessenger/assets/models/originals/blender-r3/stackedCrates.blend"
BlenderMCP: cannot start server in background mode (blender -b) - commands would never execute
BlenderMCP: run Blender with a GUI, or use a virtual display: xvfb-run -a blender
BlenderMCP addon registered
INFO Draco is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_draco_bridge.dylib
INFO MeshOptimizer is available, use library at /Applications/Blender.app/Contents/Resources/5.2/scripts/addons_core/io_scene_gltf2/libbf_intern_meshopt_bridge.dylib
04:15:45 | INFO: Starting glTF 2.0 export
04:15:45 | INFO: Extracting primitive: n2.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n4.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n6.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n8.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n11.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n13.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n15.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n17.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n19.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n40.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n42.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n44.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n46.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n63.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n65.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n67.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n69.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n71.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n74.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n76.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n78.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n81.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n83.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n85.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n87.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n90.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n92.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n95.001
04:15:45 | INFO: Primitives created: 6
04:15:45 | INFO: Extracting primitive: n97.001
04:15:45 | INFO: Primitives created: 6
